1997-01-01,1997-02-01,1997-03-01,1997-04-01,1997-05-01,1997-06-01,1997-07-01,1997-08-01,1997-09-01,1997-10-01,1997-11-01,1997-12-01,1998-01-01,1998-02-01,1998-03-01,1998-04-01,1998-05-01,1998-06-01
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,活跃,活跃,不活跃,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,回流,不活跃
注册新用户,不活跃,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,回流,不活跃,流失,流失,流失,流失,流失
注册新用户,活跃,不活跃,活跃,活跃,活跃,活跃,不活跃,活跃,不活跃,流失,回流,活跃,不活跃,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,回流,不活跃,流失,流失
注册新用户,活跃,不活跃,流失,流失,回流,活跃,不活跃,流失,流失,回流,活跃,不活跃,流失,回流,不活跃,流失,流失
注册新用户,不活跃,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,回流,不活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,回流,活跃,不活跃,活跃,不活跃,流失,流失,流失,流失,回流,活跃,活跃
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,活跃,活跃,活跃,活跃,不活跃,活跃,不活跃,活跃,不活跃,活跃,不活跃,流失,流失,流失,回流,不活跃,流失
注册新用户,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,活跃,不活跃
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失
注册新用户,活跃,不活跃,流失,回流,活跃,不活跃,活跃,活跃,活跃,活跃,不活跃,活跃,活跃,活跃,不活跃,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,活跃,不活跃,流失,回流,不活跃,活跃,不活跃,流失,回流,不活跃,流失,流失,流失,流失,回流,不活跃
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,活跃,不活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失
注册新用户,不活跃,活跃,不活跃,活跃,不活跃,流失,回流,活跃,活跃,不活跃,活跃,不活跃,活跃,活跃,不活跃,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,回流,不活跃
注册新用户,不活跃,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,活跃,不活跃,流失,流失,流失,回流,不活跃,活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失
注册新用户,活跃,活跃,活跃,不活跃,活跃,不活跃,活跃,不活跃,流失,回流,不活跃,流失,回流,活跃,活跃,不活跃,活跃
注册新用户,活跃,活跃,不活跃,流失,回流,活跃,活跃,不活跃,活跃,活跃,活跃,活跃,不活跃,活跃,不活跃,流失,回流
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,回流,不活跃,活跃,不活跃,活跃,活跃,不活跃,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,回流,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃
注册新用户,不活跃,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,回流,活跃,活跃,不活跃,流失,回流,不活跃
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
未注册,注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,活跃,活跃,不活跃,活跃,不活跃,流失,回流,不活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,回流,活跃,不活跃
注册新用户,活跃,不活跃,流失,回流,不活跃,活跃,不活跃,活跃,不活跃,活跃,活跃,不活跃,流失,回流,活跃,不活跃,活跃
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,活跃,不活跃,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,活跃,活跃,活跃,活跃,活跃,活跃,不活跃,活跃,不活跃,流失,流失,流失,流失,流失,流失,流失,流失
注册新用户,不活跃,流失,回流,不活跃,流失,流失,流失,回流,不活跃,活跃,不活跃,流失,回流,不活跃,活跃,不活跃,流失
注册新用户,不活跃,流失,流失,流失,流失,回流,不活跃,流失,流失,流失,流失,流失,流失,流失,回流,不活跃,流失
注册新用户,不活跃,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失,流失
